ID,RegionName,NVotes,Leave,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,Density,Deprived,MultiDepriv
1,West Midlands,9656,2793,30258,15726,30.8,34.2,4.9,2.1,1.1,2.9,0.5,1.1,3.7,21.2,20.2,24.7,10.8,2,2.7,1.6,0.4,0.2,49.4,20.3,25,8.1,3.2,21.5,7.4,29.2,46.3,12.8,45.8,23.2,7,9.9,47.9,54.5,67.9,24.6
2,London,6022,905,14489,5647,32,42.2,9.2,5.2,3.1,7.8,1.7,3,2.7,6.9,8.1,25,16.2,3.2,4.5,2.6,0.5,0.3,39.1,44.6,8.7,1.3,0.5,19.4,7.1,46.9,28.9,29.2,20.2,9.1,10.1,16.3,19,78.9,81.2,46.8
3,East of England,3637,2062,8698,3592,36.5,47,8.2,4.7,2.9,6.9,1.5,2.8,2.4,6.3,6.3,21.6,16.7,4.9,7.5,5.3,1.6,0.6,77.8,12.3,7.9,3.3,0.6,52.5,19.3,34.5,10.6,25.5,18.6,5.2,6.6,9.4,25.4,21.8,63.5,28.6
4,London,5610,3286,10029,4275,37,46.6,7.6,4,2.6,6.9,1.2,2.6,2.3,6.1,6.8,22.9,17.9,5,7,4.9,1.3,0.7,81.6,11,5.9,2,0.1,56.4,17.6,31.3,10.4,26,22.1,4.3,5.8,8.3,31.7,42,63.9,30.9
5,East of England,5976,3975,11205,4802,38.3,47.2,6.7,3.3,2.3,6.7,1.4,2.9,2.6,5.8,6.2,21.4,20.2,6.1,8.5,4.2,1.1,0.4,94.4,2.2,2.4,0.2,0.2,57.6,18.6,22.2,18.4,27.4,15.4,2.6,5.3,7.6,27.7,30.2,64.5,30.4
6,East of England,2550,1138,5069,2148,41,48.6,5.1,2.7,2,5.4,1.5,2.7,1.9,5.4,6.5,21,23.1,7.2,8.8,4.5,1.6,0.8,93.1,1.3,4.7,1,0.5,81.5,31.8,4.8,12,13.7,34.9,3,2.2,2.8,41.3,2.1,44.1,12.9
7,North West,5678,3242,11956,5425,38.8,46.4,6.3,3.2,1.9,5.2,1.2,2.2,2.6,8.5,9.4,19.9,17.9,5.6,8.2,5.6,1.8,0.8,88.3,4.4,6.1,2.1,0.7,52.2,20.2,24,22.1,28.2,22.8,6,4.7,6.8,28.3,33.1,65.4,33.6
8,West Midlands,15148,7519,24125,10198,43.1,52.4,5.5,3.6,2.3,6.3,1.2,2.4,1.8,4.2,4.2,18.8,20.4,6.7,10.9,8.5,2.1,1,89.3,2.1,7.6,4.8,0.9,84.8,35.8,5.8,8.4,16.9,37.8,3,3,4.2,49.9,17.2,47.9,16.7
9,North West,5342,3619,11120,5130,41.4,50.1,6.1,3.2,2,5.9,1.3,2.7,2.5,6.1,5.9,17.9,19.5,6.6,11.3,6.9,1.6,0.7,95.7,2.2,1.7,0.3,0.2,57.1,22.1,32.9,8.7,33.7,13.6,2.9,6.2,9.8,21.7,39.3,70.6,36.9
10,West Midlands,3675,2762,7316,3004,38.5,48,7,3.6,2.3,7.1,1.5,2.7,2.5,6.2,6.3,19.4,19.8,5.6,8.4,5.5,1.5,0.5,97.4,0.9,1.4,0.6,0.2,53,19.3,33.7,10.7,38.5,9.4,2.9,7.2,11,16.5,50.8,72.9,42
