ID,RegionName,NVotes,Leave,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,Density,Deprived,MultiDepriv
11,East of England,5279,2587,9547,3779,36.5,45.6,7.4,3.8,2.4,6.5,1.4,2.8,2.4,6.2,6.7,23.8,19.8,5,6.9,3.5,0.9,0.3,79.7,4.3,13.2,2.5,0.6,67.7,20,16.8,13.7,16.7,32,4.8,3.3,4.4,41.8,19.1,50.8,18.6
12,North West,3150,1499,6780,2442,34,45,9,5.2,3.6,7.7,1.5,2.8,2.7,6.7,7.6,21.1,15.4,4.4,6.5,3.9,1.1,0.6,43.5,0.7,55.1,33.7,16.7,68.9,38.3,15.5,13.8,34.2,15.2,5.7,5.5,9.4,17.8,21.9,71.4,37.2
13,London,3961,1648,11184,3487,36.9,44.4,5.5,3.5,2.1,6.5,1.2,2.5,2.7,8.7,9.5,21.7,19.3,4.6,6.7,4.5,0.8,0.4,26.6,8,61.4,46.5,2.4,60.9,25.9,12.1,24.8,23.4,27.6,8.4,4.9,7,26.4,89.5,69.6,32.4
14,North West,5101,3115,6676,2837,45,52.9,3.7,2.6,1.5,6.1,1.7,2.7,2.2,4.4,3.6,17.2,22.8,7.9,12.8,8.2,1.7,0.7,98.2,0.5,1,0.5,0,90.2,39.5,2.5,6.5,20.4,28.7,3.1,2.1,3,38.9,6.1,50.6,17.9
15,West Midlands,8022,6067,13046,5733,43.5,51.3,5.2,2.9,1.8,5,1.1,2.1,2.3,5.6,5.7,18.3,19.2,6.9,13.3,8.6,1.4,0.5,97.5,1.5,0.9,0.3,0.2,72.6,34.4,20.1,5.7,33.9,15.9,2.6,4.7,7,25.4,32.6,64.3,30.9
16,London,6471,1288,16854,7158,32,39.6,7.1,4.1,2.5,6.4,1.4,2.6,2.4,8.8,13.4,26,16.8,2.3,3.6,2,0.4,0.2,37.9,50.5,5.7,0.6,0.7,15.7,4.3,58.9,22.9,17.6,36.8,9.6,8.7,11.9,36.1,143,70.9,34.2
17,North West,2720,1408,4363,1830,42.9,51,4.4,2.7,2.5,6.1,1.1,2.8,1.8,4,3.4,18.2,27.5,8.7,11,4.5,0.7,0.6,98.5,0.2,0.9,0.3,0.1,90,37.1,1.2,8.4,12.4,45.1,2.5,2.1,2.9,52.9,0.7,37,10.6
18,London,7401,3375,16638,7870,36,43,8.5,3.3,1.7,3.4,0.7,1.7,1.5,6.4,12.8,29.8,14.7,3.9,5.5,4.1,1.2,0.8,51.3,16.1,28.4,15.9,2.2,38.9,15.4,14.7,43.1,12.3,45.9,5.3,5.5,7.3,48.7,45.3,59,22.8
19,North West,7066,3578,14986,6332,36.3,45.8,8.3,4.4,2.4,6.2,1.3,2.6,2.6,5.8,7,24,18.1,4.8,6.2,4.1,1.2,0.9,91.2,2.4,5.6,0.6,2,58.2,16.6,25.2,14.9,26,23.7,3.5,5.4,7.5,31.2,51.7,59,28.5
20,Yorkshire and The Humber,6198,4476,12654,5359,39.5,48.6,6.9,3.5,2.2,6.2,1.1,2.6,2.6,6.8,6.8,17.9,20.1,6.3,9.1,5.5,1.6,0.8,98.3,0.6,0.9,0.1,0.2,61.5,24.7,20,16.9,34.5,12.1,2.5,7.8,11.9,18.9,6.3,69,36.5
21,South East,3344,2133,7635,3204,38.7,47.7,6.8,3.7,2.4,6.1,1.3,2.5,2.1,5.8,6.7,22.6,19.9,4.3,6.9,6.1,1.8,0.9,91.8,3,4.7,1.6,0.6,55.5,16.2,31.9,9.8,24.5,20.8,2.4,4.7,6.1,32.9,34.9,57.8,24.1
22,South East,2238,1534,5920,2554,41.6,51,6.8,3.4,2.2,5.4,1.4,3,2.7,5.7,5.6,18,17.6,6.4,9.6,8.5,2.5,1.2,95.6,1.6,2.1,0.3,0.1,53.6,19.9,39,5.6,40.7,9.8,1.9,5.3,8.2,17.2,52.8,73.4,38.7
23,London,5705,4309,12534,5016,39.8,48.5,6,3.5,2.1,5.9,1.4,3,2.6,7.1,5.5,18.7,21.1,5.5,9.5,6.4,1.1,0.5,84.3,9.3,5.4,3.1,0.4,77.4,30.7,8.9,12.8,29.8,14.9,3.4,4.8,6.8,24.5,8.3,64,27.3
24,London,3916,1565,12321,4618,35.7,44.6,7.2,3.4,2.1,6.2,1.9,4.3,2.9,5.8,8,25.1,16.8,4.6,6,4,1.1,0.6,47.4,10.4,37.5,19.1,2.8,52.7,19.2,11.7,31.4,13.3,41.8,7.5,4.2,6,45.3,35.3,54.1,21.4
25,West Midlands,7076,5317,12729,5195,39.8,48.7,6,3.5,2.4,6.3,1.3,2.6,2.5,5.6,5.7,20.9,19.5,6.3,10.2,5.3,1.2,0.6,95.8,1.7,2.2,1,0.3,68.2,24.9,20.6,9.3,36.1,14,2.6,5.8,8.6,22.3,18,66.5,33.2
26,North West,3854,2506,12196,4809,33.7,44.4,9.9,5.1,3.1,7.2,1.3,2.6,3.1,7.7,8.4,19.8,16.2,3.9,5.4,4,1.3,0.8,64.8,4.9,29.2,1.1,21.6,44.8,16.5,37.4,16.1,40.5,11.1,5.3,8.6,14.8,14.2,38.2,77.9,44.9
27,South East,6596,2830,16729,6397,32.2,35.9,4.4,2.5,1.1,3.3,0.6,1.7,10.1,26,8.7,17.4,12.2,3.2,4.3,3.2,0.9,0.5,83.8,4.2,10.2,2.3,0.5,43.3,16.2,4.3,51.2,11.6,26,36.9,3.3,5.3,40,166.6,49.5,19.5
28,North West,2001,1354,4745,2116,40.7,49.1,5.9,3.2,2,5.2,1.6,2.8,2.5,5.8,5.9,19.9,20.8,7,9.5,5.3,1.6,0.9,96.8,0.5,2.4,0.3,1,71.8,28.1,9.5,17.5,25.2,22.3,3.3,3.5,5.1,27.1,24.7,56.9,26.3
29,North East,4172,2741,8034,3609,40.1,48.4,6,3.1,1.9,5.9,1.4,2.6,3,6.3,6.6,19.1,20.6,6.6,9.4,5.3,1.4,0.8,97.4,0.5,1.4,0.2,0.1,48.3,14.5,42.3,8.5,32.3,13.8,3.4,8.6,13.3,19.6,23.3,69.6,38.4
30,East of England,5273,3388,10323,3979,39.7,50,6.5,3.6,2.5,7.5,1.6,3.4,2.8,4.9,4.8,18.2,19.9,6.4,9.3,5.9,1.8,0.8,92.6,2.7,3.9,1.5,0.3,67.9,26.6,19.1,12.1,26.1,20.3,2.9,4.8,7.2,32,37,60.4,25.3
31,London,6212,1496,11601,5546,35.8,40.8,5,2.4,1.4,4.2,0.7,1.4,1.8,8.4,16.3,29.4,15.7,3.7,5.5,3.1,0.6,0.4,74.7,12,8.5,1.4,0.3,27.3,12.2,41.8,29.3,15.5,54.4,6.2,5.3,7,57,137,59,25.7
32,North West,2170,1485,5460,2152,36.5,46,7.6,3.8,2.8,6.8,1.3,2.9,2.4,6,5.9,24.3,19.4,5.2,6.5,3.5,0.8,0.8,96.5,0.1,3,0.3,1.7,76.2,22.7,7.4,15.4,21.9,22,3.2,3.4,4.6,30.8,6.7,52.6,21.9
33,Yorkshire and The Humber,6555,4541,11853,5021,41.7,49.5,4.6,3,2,5.8,1.4,2.9,2.6,5.9,5.2,18.1,24.1,7.4,9.8,5.7,1.2,0.5,98.2,0.6,0.7,0.1,0.3,76.6,29.8,15.8,6.4,25.1,19,3.1,3.9,5.5,28.9,13.4,57.6,25.5
34,West Midlands,8311,5031,13992,5734,44.1,52.2,4.5,2.8,1.8,5.9,1.1,2.8,2.4,4.9,4.3,17.6,21.3,6.5,13.4,8.2,1.8,0.8,87.9,2,9.3,6.1,0.9,91.7,39.2,1.2,6.5,20.3,28.6,3.1,2.8,4,41.8,24.6,50.2,16.8
35,London,7456,4032,14567,5854,41.4,50.6,5.9,3.9,2.3,5.9,1.4,2.8,2,4.3,4.5,20.3,21.4,6.8,9.6,6.8,1.6,0.7,90.3,2.5,6.1,2.7,0.2,87.4,34.3,4.4,7.2,16.4,33.2,2.6,2.6,3.6,46.6,11.8,45.2,14.2
36,North East,6477,3966,10575,4581,41.8,49.9,5.5,2.9,1.8,6,1.3,2.3,2.5,6.6,5.4,17.7,21.4,7.4,10,7.1,1.4,0.6,98,0.2,1.4,0.2,0.3,67.2,26.6,23.1,8.8,31.8,16.3,3.6,5.6,8.5,22.3,31.6,66.2,32.5
37,West Midlands,6114,4404,12828,5480,36.6,46.5,7.8,4.1,2.7,7,1.5,3.1,2.9,7.6,6.7,19,17.9,5,8.3,5.3,1,0.3,90.9,6.7,2,0.6,0.4,51.6,17.8,38.4,8.8,37.2,9.5,3.5,8.8,13.3,16.8,46.1,73.5,39.2
38,North West,2084,948,2230,1081,43.4,51,6,3,1.2,4.6,0.7,2.2,1.6,5.3,7,18.1,24.2,5.8,8.9,6.7,2.8,1.9,96.8,0.7,2.2,0.9,0,63.7,29.8,15.5,19.4,18.7,36.2,2.5,2.5,3.4,40.2,27.3,53.1,22.7
39,North West,6139,3337,9735,4085,43,51.1,4.4,3.2,2.4,5.8,1.3,2.2,1.9,4.4,3.9,18.9,24.6,8.6,11.1,5.1,1.2,0.9,97.3,0.9,1.5,0.3,0.5,84.1,36.3,5.9,8.9,16.3,37.5,2.8,2.7,3.8,46.1,2.4,46.1,16.2
40,North West,6172,2888,11264,5304,40.8,48.1,6,2.8,1.7,4.6,0.9,2.2,2.1,6.4,7.6,21.6,20.9,6,8.1,5.9,2,1.1,87.3,2.1,6.9,1.5,1.4,61.3,22,18.7,18.3,24.8,30.7,4,4.3,6.1,36.9,43.4,58.8,29.4
41,London,6177,3041,13561,5567,37.2,46.6,7.6,4,2.7,6.3,1.3,2.7,2.4,5.7,6.7,23.3,18,5.1,7.6,4.6,1.5,0.6,76,12.9,7.8,1.6,0.7,49.3,18.2,37,12.5,25.5,29.6,5.2,5.8,8.6,33.5,42.3,63.3,30.4
42,London,6106,2766,18024,6928,31.6,42.3,9.9,5.5,3.2,7.8,1.6,3.1,2.7,7.4,8.6,22.9,15.8,3.1,4.8,2.8,0.6,0.2,39.4,37.8,14.2,2.8,0.7,30.6,8.6,41.1,24.2,30.5,19.5,8.6,8.8,14.4,19.8,59.1,79.8,44.2
43,London,6029,3894,15509,6721,38.1,48.2,8.2,4.2,2.5,6,1.3,2.8,2.2,5.5,5.9,21.2,18.6,5.7,8.7,5.5,1.2,0.6,85.4,9.4,3.9,1,0.1,59.9,21.5,26.7,11.3,27.9,19.6,3.2,5.4,7.9,29.4,11.9,63.4,28.3
44,Yorkshire and The Humber,6084,4029,10044,4442,46.9,54.8,3.8,2.9,2,5.3,1.1,2.1,2,3.9,3.4,15.7,21.1,9.5,14.2,9.3,2.6,1,98.7,0.2,0.7,0.1,0,87.3,39.5,4.1,7.9,25.5,22.4,2.2,2.1,3.1,32.6,21.6,53.2,19.6
45,East of England,4344,905,8665,3745,38.5,44.4,5.1,2.9,1.6,3.9,0.9,1.9,2.1,9.1,11.7,23.8,18,5.4,6.6,4.5,1.5,0.9,88.1,2.1,8,1.7,0.2,58.1,27.5,9.7,30.6,8.1,63.2,11.9,3.2,4.3,61.1,58.3,46.7,14.9
46,West Midlands,5868,4166,12264,4841,39,48,6.6,3.4,2.3,6.3,1.3,3,2.5,6.8,6.7,19.7,18.5,6,9.2,5.7,1.2,0.6,73.2,8.5,16.7,13.7,0.5,63.1,27.8,25.5,9.9,37.4,12.4,3.4,8.2,12.5,18.4,47.5,71.5,39
47,London,7374,3848,13268,5471,39.7,48.3,6,3.1,2.2,6.4,1.2,2.7,2.4,6.4,6.1,19.2,21.5,6.7,8.6,5.1,1.4,0.8,75.4,11.7,10.9,4.2,1.6,74.6,26.3,11.1,13,17.2,29.3,4.2,4,5.5,38.7,15.7,52.8,18.6
48,North West,2954,1698,6233,2756,41.9,50.4,4.8,3,2.3,6.4,1.3,2.8,2.2,5.2,4.9,18.9,22.1,6.8,11.6,5.5,1.3,0.9,98.9,0.2,0.6,0,0,82.8,32.5,6.8,9.3,24.6,19.9,2,3.7,5.3,27.5,10.8,56.6,26.1
49,South West,7030,4980,13997,5908,39.3,48.9,6.6,3.9,2.6,6.2,1.4,2.9,2.8,5.9,6.4,18.4,19,6.1,9.2,5.9,1.7,0.9,98,1,0.8,0.2,0.1,50.4,18.7,38.8,9,35.1,10.5,3.1,5.7,9.1,16.3,28.6,71.9,38.3
50,West Midlands,3559,2414,6484,2637,38.4,47,6.1,3.8,2.6,5.7,1.3,2.8,2.4,5.6,6.7,22.7,20.7,5.7,8.2,3.9,1,0.7,98.1,0.5,1.2,0.4,0.1,76.9,20.6,10.5,11.5,26.2,18.2,2.3,3.7,5,28.4,30.7,54.5,25.3
51,South East,7914,5503,14068,5609,36.2,46.2,7.9,4.1,2.6,7.5,1.5,2.8,3.1,6.1,6.9,20,19.2,5.8,7.1,3.8,1.1,0.5,94.5,1.7,3.3,0.9,0,50.7,16,34.9,12.7,32.3,14.7,3.5,5.9,8.4,23,29,66.3,33.1
52,East of England,2611,1316,4180,1705,41.5,51.5,5.4,3.4,2.5,7.7,2,2.7,1.8,4.3,3.3,19,22.2,6.5,10.2,6.5,1.7,0.7,96.2,1,2,0.6,0.2,77.2,30.9,7.6,11.9,16.1,36.5,3.3,2.3,3.3,47.7,0.8,45,15
53,West Midlands,6221,4381,11986,5109,41.4,49.7,5.4,3.1,1.8,5.8,1.3,2.8,3,6.3,5.7,18.3,21,5.7,10,6.6,2.1,1,87.2,7.9,4.4,3,0.2,67.9,27.8,23.4,7.2,33.3,15.1,3.7,6.1,8.9,23.2,25.4,64.5,31.8
54,North West,3962,1900,14012,4376,30.2,41.8,10.7,5.7,3.7,9.1,1.8,3.6,3.2,8.1,8.9,20.4,13.3,2.8,4.2,3,0.9,0.5,34,3.6,61.6,0.6,48.9,56.2,27.6,26.3,14.3,41.2,11.1,7,7.8,14.1,12,52.7,79,44.7
55,North East,5489,3258,10649,4952,42.7,49,4.4,2.5,1.5,4.2,1,2,2.3,8.6,6.6,19,21.3,6.6,10,7.6,1.7,0.8,93.4,1.3,4.5,0.7,0.1,69.4,29.8,10.8,18.1,23.8,25.9,7.6,4.7,7.2,30.3,50,59.4,27.1
56,North East,5485,3262,10817,4381,40.1,48.5,5.9,3.3,2,6,1.3,2.9,2.6,5.9,5.3,18.3,23.9,8.2,9.2,4.2,0.8,0.3,96.6,0.6,2.5,1,0.2,67.8,22.2,23.7,7.8,23.5,22.8,3.5,4.6,6.7,31.3,15.3,56.4,25.5
57,South East,3968,2054,7995,3434,36.3,44.9,8.7,3.6,2.3,5.5,1,1.9,1.9,6.2,8.2,24.7,20.1,4.8,6.1,3.8,0.8,0.4,88.6,3.5,6.7,2.1,0.5,61.5,17.8,23.6,12.9,16.5,28.5,2.8,4.2,5.4,39.2,40.9,50.7,19.7
58,East of England,3180,1747,4379,1726,37.6,47.4,7.2,4.3,2.3,7.1,1.5,2.6,2.6,5.7,6.4,20.5,19.4,5.8,7.4,5.3,1.1,0.6,80.2,7,11.4,5.3,0.9,59.7,20.2,29.5,9.2,25.5,18.5,4.1,5.5,7.7,24.9,7.9,62.1,29.2
59,South East,1516,799,3075,1178,41.3,50.1,5.1,3.4,2.4,6.2,1.4,3,2.2,4.5,4.2,19.5,25,6.4,9.1,5.2,1.3,1.1,95.5,1.2,3.1,0.6,0.3,86.8,30.1,2.6,9.1,15.3,33.4,2.5,2.9,3.7,49.8,1.6,41.3,12.4
60,London,7411,1653,14418,6277,33.5,40.1,6.9,3.2,2,5.3,1.1,1.8,2,10,14.9,27,13.9,3.5,4.6,2.6,0.7,0.5,57.1,23.5,12,1.7,0.3,20.8,7.4,44.9,32.3,20.6,41.8,10,6.6,9.4,41.6,161.4,71,36.7
61,South East,1765,1296,4396,1793,38.4,48,6.8,4,2.2,7.1,1.5,2.7,2.8,5.6,6.1,20.7,18.8,5.9,7.9,6,1.4,0.5,90.4,5.3,3.7,1.2,0.1,53.6,17.8,37.7,5.2,32.5,14.4,2.7,5.1,7.5,22.7,40.7,68.3,31.7
62,London,6578,1083,11680,5277,37.5,43.4,6,2.6,1.8,4.4,0.6,1.3,1.4,5.4,11.5,32.6,16.5,4.1,6.1,3.7,1,0.8,81.1,6.6,7.9,2,0.4,51.9,23.8,10,36.2,6.4,65.7,6,3.1,3.9,65.6,47.9,46.9,13.9
63,Yorkshire and The Humber,9819,6050,15095,6700,42,50.1,5.4,3.2,2,5.8,1.1,2.3,2.1,4.9,5.6,20.2,21.3,7.6,10.2,6.1,1.5,0.9,97.6,0.8,1,0.3,0.1,73.1,27.2,15.6,10.1,25.1,23.7,2.3,3.8,5.3,33,23.6,56.2,24.1
64,London,5281,3422,10846,4026,35.3,46.2,8.3,4.9,3,7.9,1.7,2.9,3.6,6.7,5.8,19.1,18.8,4.5,6.3,4.6,1.2,0.6,76.3,17.1,4.3,1,0.7,47.1,14.4,42.4,8.9,34.8,12.8,4.6,7,10.3,18.9,45.8,72.3,37.5
65,South East,7310,4580,13608,5643,38.4,46.9,6.8,3.5,2,6,1.4,2.5,2.4,6.4,8.1,20.9,19.8,5.3,7.6,5,1.5,0.8,90.7,2.6,5.8,0.9,0.1,65.6,22.6,13.8,19.4,23.1,20.8,4,3.9,5.2,31.6,48.2,56.7,23.5
66,North West,8159,3727,14291,6619,42.2,49.7,5,3,2,5,1,2.2,1.8,5.5,6.5,20.7,20.6,7.7,10.6,6.2,1.4,0.7,96.6,0.7,2.4,0.7,0.1,76.4,30.9,4.4,18,19.4,30.3,3.2,4,5.8,38.1,45.7,53.5,22.3
67,Yorkshire and The Humber,6283,3352,11313,4846,39.8,48.7,5.8,3.8,2.1,6.4,1.4,2.5,2.3,4.7,4.5,21.6,23.1,6.9,8.9,4.4,1.1,0.3,97.8,0.6,1.3,0,0.4,75.1,26.7,12.8,10.7,19.2,32.6,2.8,3.7,5,41.9,2,49.1,21.1
68,London,5182,1254,9314,4034,35.7,42,8,3.2,1.5,3.4,0.5,1.2,0.8,5.1,13.9,34.4,14.6,3.6,5.2,3.2,1,0.4,81.9,2.8,12.5,3.6,1.2,60.9,22.6,3.8,34.2,7.8,60.7,3.9,2.5,3,64.7,83,36.9,11.4
69,London,4716,1398,13428,5224,34.4,41.8,6.4,3.5,2.5,6,1.3,2.3,2.3,8.5,11.7,26.3,15.9,3.7,5.3,3.4,0.5,0.2,52.2,27,13.2,2.5,1.2,32,13.8,35,30.2,23.9,30.6,9.7,7,10.3,28.2,98.5,73.5,38.6
70,West Midlands,7866,4417,12523,5317,45.1,53.3,4.9,3,2,5.1,1.1,2.3,1.9,4.4,4.5,17.4,20.3,7.5,13.1,9.3,2,1.1,94,0.8,4.9,1.4,2.1,78.6,37.9,13,7.4,23.7,30,2.7,3.9,5.8,40.8,27.7,53.6,21.5
71,West Midlands,6027,4153,12462,4904,37.6,47.3,7.1,4,2.6,6.7,1.4,3.1,3,7,6.1,19.6,18.9,5,7.6,5.6,1.5,0.7,82.6,9.3,6.8,5.1,0.2,60.8,22.1,29.5,8.1,34.2,14.5,3.8,7.4,10.8,19.7,46.2,67.6,34.6
72,South West,6948,4531,11817,5017,43.2,50.4,4.6,2.9,1.7,4.7,1.1,2.3,3.8,6.3,5.1,16.1,21.7,9.6,12.2,5.7,1.5,0.8,97.2,0.5,2,0.6,0,69.8,29,20.5,8.5,27.8,15.8,6.7,2.9,4.5,23.8,14.5,65.4,29.9
73,West Midlands,3375,1932,5553,2350,42.4,50.3,4.9,3.1,1.9,5.3,1.4,2.7,2,5,4.8,19.1,24.8,7.3,9.7,5.6,1.5,0.8,96.3,1.1,2.1,0.8,0.3,83.3,30.8,7,8.9,19.8,29.3,2.9,2.3,3,40.7,16.6,47.8,17
74,Yorkshire and The Humber,8280,3370,15547,6995,40,47.8,6.2,3.2,2,4.9,1.1,2.4,1.8,5.5,8.2,23.4,19.4,5.8,7.5,5.9,1.8,1,84,2,12.8,1.8,7.4,69,26.7,8.6,20.6,19,36.9,3.4,4.1,5.6,42.1,25.6,54.7,22.6
75,London,5693,1378,12665,5930,36.9,42.7,5,3,1.8,4.7,0.9,1.7,1.9,8.5,11.8,27.7,17.1,4.6,7.1,3.1,0.7,0.4,73.6,8.7,13.3,2,0.3,34.5,18.6,32.5,31.1,11.7,53.9,9.4,4.4,6.2,56.3,111.4,61.8,25.4
76,West Midlands,3888,2437,7025,3068,44.5,52,4.4,2.5,1.8,5,1.4,2.6,2.2,5,5.1,18.3,20.3,8.5,12.3,7.8,2.1,0.8,97.2,0.8,1.9,0.9,0,80.3,37.4,8.8,9.7,25.1,24.1,2.9,3.5,5.1,36.3,29.2,55.9,23.4
77,London,6679,3162,14409,5015,35.8,44.3,8,3.9,2.3,5.5,1.2,2.2,2,6.6,9.2,25.7,17.5,4.1,6.6,4,1,0.3,51,12.5,29,11.7,3.9,60.8,20.7,8.3,29.2,17.8,30.2,6.1,4.9,6.7,30.1,43.7,63.7,27.8
78,East Midlands,6849,4523,16862,7345,38.8,49,7.1,4.1,2.7,7,1.5,3,3,5.6,6.1,18.8,18,5.6,7.9,5.7,2.5,1.2,80.7,11.5,6.5,1.5,2.7,47.5,15.7,41.2,9.4,41.9,11.6,3.9,7.4,12.4,17,33.8,76,45.6
79,North West,2648,1666,5329,2415,42,50,5.5,3,2,5.1,1.2,2.5,2.3,5.8,5.6,18.6,21.4,8.1,11,5.9,1.1,0.9,99.3,0.2,0.3,0.1,0,83.2,33.7,5,11.1,21.7,19.3,2.1,4.1,6,29.2,7.5,60.1,28
80,North West,1426,904,1932,829,43.8,50.7,4.8,2.1,1.4,4.7,1.1,2.3,2.4,5.1,4.2,18.1,26.8,8.8,11,5.5,1,0.5,98.2,0.5,1,0.5,0,91.5,40.9,0.6,7.1,20.1,29.3,3.4,2,2.8,39.9,1.8,47.3,17.7
81,North West,5874,3796,12535,5457,37.6,46.4,7.2,3.7,2.3,6.1,1.2,2.5,2.4,6.6,7.6,21.6,19.6,5.9,7.4,4.1,1.1,0.6,94.3,1.3,4,1.2,1.1,62.3,19.1,24.4,12.4,29.7,15.3,2.8,5.3,7.5,23.9,34.6,63.7,31.5
82,West Midlands,10015,6793,25402,10354,36.7,46.8,7.3,4.3,2.7,7.5,1.5,3,2.9,6.6,6.7,20.4,17.9,4.3,7.4,5.6,1.3,0.6,75,13,10.6,1.7,5.1,47.6,15.7,37.9,12.5,37.7,13.4,4.6,8.4,12.9,19.7,30,72.5,39.4
83,West Midlands,6418,3589,16601,5429,33,43.8,9.1,5.3,3.2,8.3,1.5,2.9,2.7,8.2,8.5,20.7,14.5,3.8,5.9,3.8,1,0.5,37.8,5.3,54.7,15.7,20.7,60.6,24,20,17.5,33.5,16.4,6.8,8.4,14,18.2,46.3,72.4,39.8
84,South East,3496,1445,4207,1664,44.3,53,4.9,2.6,2,6.2,1.2,2.9,2,3.7,3.4,18.1,21.8,8.9,12,7.4,1.6,1.4,97.6,0.5,1.5,0.3,0,86.4,37.2,4.6,8.1,17.7,37.8,2,1.5,2.1,45.3,3.4,43,11.7
85,East of England,4196,816,7900,1718,31.6,34.3,2.8,1.9,1.4,3.2,0.4,1,11.4,30.1,12.2,14,9.2,2.9,4.2,3.3,1.2,0.8,80.4,1.5,15.3,3.1,0.8,56.7,37.1,7.8,32.4,1.7,55.3,59.6,0.9,2.7,73,18.2,40.4,7.8
86,East of England,2593,1087,4701,1885,42.9,52,4.3,3.4,2.5,7.3,1.5,2.6,1.9,3.5,3.2,18,24.2,8.2,11.5,6,1.2,0.6,97.3,0.8,1.4,0.4,0.1,75.1,32,12.7,8.8,16.6,39.5,2.2,2.1,2.9,47.8,0.5,43.7,14.1
87,North West,2651,1723,7059,3163,37.4,46.9,7.9,4.1,2.6,6,1.7,2.3,2.5,7.1,7.7,19.9,17.9,5,8.1,5,1.2,1,91.7,1.1,6.5,0.9,3.7,54.7,21.5,18.1,25.2,35.4,12.9,3.3,7.3,11.8,17,41.3,73.5,39.9
