"timestamp","name","symbol","rank","price_btc","price_usd"
"2017-11-21-20-03","Bitcoin","BTC","  1","1.00000000","8.12675e+03"
"2017-11-21-20-03","Ethereum","ETH","  2","0.04440240","3.61538e+02"
"2017-11-21-20-03","Bitcoin Cash","BCH","  3","0.14527100","1.18284e+03"
"2017-11-21-20-03","Ripple","XRP","  4","0.00002866","2.33352e-01"
"2017-11-21-20-03","Dash","DASH","  5","0.06127300","4.98903e+02"
"2017-11-21-20-03","Litecoin","LTC","  6","0.00863902","7.03415e+01"
"2017-11-21-20-03","IOTA","MIOTA","  7","0.00011163","9.08941e-01"
"2017-11-21-20-03","NEO","NEO","  8","0.00427168","3.47813e+01"
"2017-11-21-20-03","Monero","XMR","  9","0.01752360","1.42683e+02"
"2017-11-21-20-03","NEM","XEM"," 10","0.00002513","2.04613e-01"
"2017-11-21-20-03","Ethereum Classic","ETC"," 11","0.00219320","1.78577e+01"
"2017-11-21-20-03","Lisk","LSK"," 12","0.00119383","9.72050e+00"
"2017-11-21-20-03","Qtum","QTUM"," 13","0.00173613","1.41361e+01"
"2017-11-21-20-03","EOS","EOS"," 14","0.00024277","1.97673e+00"
"2017-11-21-20-03","OmiseGO","OMG"," 15","0.00094639","7.70579e+00"
"2017-11-21-20-03","Zcash","ZEC"," 16","0.03580620","2.91544e+02"
"2017-11-21-20-03","Cardano","ADA"," 17","0.00000350","2.84980e-02"
"2017-11-21-20-03","Hshare","HSR"," 18","0.00214021","1.74262e+01"
"2017-11-21-20-03","Stellar Lumens","XLM"," 19","0.00000466","3.79240e-02"
"2017-11-21-20-03","Tether","USDT"," 20","0.00012217","9.94780e-01"
"2017-11-21-20-03","BitConnect","BCC"," 21","0.03633700","2.95867e+02"
"2017-11-21-20-03","Waves","WAVES"," 22","0.00064406","5.24415e+00"
"2017-11-21-20-03","Populous","PPT"," 23","0.00122132","9.94432e+00"
"2017-11-21-20-03","BitShares","BTS"," 24","0.00001727","1.40606e-01"
"2017-11-21-20-03","Stratis","STRAT"," 25","0.00043089","3.50841e+00"
"2017-11-21-20-03","Ark","ARK"," 26","0.00037515","3.05459e+00"
"2017-11-21-20-03","Ardor","ARDR"," 27","0.00003570","2.90700e-01"
"2017-11-21-20-03","Komodo","KMD"," 28","0.00029838","2.42948e+00"
"2017-11-21-20-03","Bytecoin","BCN"," 29","0.00000016","1.30870e-03"
"2017-11-21-20-03","Augur","REP"," 30","0.00261247","2.12715e+01"
"2017-11-21-20-03","Steem","STEEM"," 31","0.00011549","9.40365e-01"
"2017-11-21-20-03","Power Ledger","POWR"," 32","0.00007805","6.35476e-01"
"2017-11-21-20-03","Decred","DCR"," 33","0.00418542","3.40789e+01"
"2017-11-21-20-03","TenX","PAY"," 34","0.00022891","1.86388e+00"
"2017-11-21-20-03","MaidSafeCoin","MAID"," 35","0.00005124","4.17207e-01"
"2017-11-21-20-03","Gas","GAS"," 36","0.00262118","2.13425e+01"
"2017-11-21-20-03","Veritaseum","VERI"," 37","0.01111470","9.04995e+01"
"2017-11-21-20-03","Factom","FCT"," 38","0.00257377","2.09564e+01"
"2017-11-21-20-03","Golem","GNT"," 39","0.00002693","2.19236e-01"
"2017-11-21-20-03","SALT","SALT"," 40","0.00045086","3.67101e+00"
"2017-11-21-20-03","Vertcoin","VTC"," 41","0.00051040","4.15579e+00"
"2017-11-21-20-03","MonaCoin","MONA"," 42","0.00037259","3.03374e+00"
